"Region Code";"Sub-region Code";"Sub-region Name"
"2";"15";"Northern Africa"
"2";"202";"Sub-Saharan Africa"
"19";"419";"Latin America and the Caribbean"
"19";"21";"Northern America"
"142";"143";"Central Asia"
"142";"30";"Eastern Asia"
"142";"35";"South-eastern Asia"
"142";"34";"Southern Asia"
"142";"145";"Western Asia"
"150";"151";"Eastern Europe"
"150";"154";"Northern Europe"
"150";"39";"Southern Europe"
"150";"155";"Western Europe"
"9";"53";"Australia and New Zealand"
"9";"54";"Melanesia"
"9";"57";"Micronesia"
"9";"61";"Polynesia"