NCBITaxonID;NCBITaxonName
3435;Persea americana
3602;Vitaceae
3641;Theobroma cacao
3827;Cicer arietinum
3847;Glycine max
3864;Lens culinaris
3916;Vigna radiata var. radiata
3983;Manihot esculenta
4113;Solanum tuberosum
4145;Olea
4513;Hordeum vulgare
4530;Oryza sativa
4557;Sorghum
4565;Triticum aestivum
4577;Zea mays
4685;Asparagus
9913;Bos taurus
9940;Ovis aries
13442;Coffea
13443;Coffea arabica
49390;Coffea canephora
63459;Chenopodium quinoa
89151;Musa x paradisiaca
115466;" Euterpe oleracea"
128810;Saccharum hybrid cultivar
381124;Zea mays subsp. mays
2870819;Vaccinium caesariense
882375;Chenopodium pallidicaule
3818;Arachis hypogaea
3821;Cajanus cajan