"FS name","FS macro region",Livelihood source,"Name","NCBITaxonID","Max THI","Min temperature  (°C)","Max temperature (°C)","Average temperature  (°C)","Min precipitation (mm)","Max precipitation (mm)","Average precipitation (mm)","Min elevation (masl)","Max elevation (masl)"
"Agro-Pastoral Millet/Sorghum","SSA",,"Ago-pastoral",,,,,,,"450","800","200","400"
"Irrigated","LAC",Commercial horticulture,"Asparagus","4685",,"15","26",,"60","100",,,
"Forest based Livestock","LAC",Subsistence agriculture,"Avocado","3435",,"16",,"22",,,"1500",,
"Irrigated","LAC",Fruit,"Avocado","3435",,"16",,"22",,,"1.6",,
"Irrigated","LAC",Fruit,"Banana","89151",,"16","38","19.5","1.2","2.2",,,
"Dryland mixed","MENA",Cereal,"Barley","4513",,"5","27","16","390","430",,,
"Irrigated","LAC",Commercial horticulture,"Blueberry",,,"-3","30",,"250","1",,"100","625"
"Coastal plantation and mixed","LAC",Crops/tree crops export,"Cacao Tree","3641",,"18","32","25","1000","2","1500",,"1.2"
"Dryland mixed","LAC",Agriculture,"Cassava","3983",,"25","29","20","500","1500","1000","1000","1000"
"Cereal-Root Crop Mixed","SSA",Farming,"Cassava","3983",,"22","33",,"300","500",,,
"Root Crop","SSA",Farming,"Cassava",,,"25","30","27.5",,,"1","500","2"
"Irrigated","LAC",Cattle,"Cattle","9913","74",,,,,,,,
"Forest based Livestock","LAC",Subsistence agriculture,"Cattle (Beef)","9913","74",,,,,,,,
"High Altitude Mixed (C. Andes)","LAC",Grain,"Cañihua",,,"10","28","19","500","800","650","3800","4.5"
"Highland Mixed","MENA",Legumes,"Chickpea","3827",,"24","30","27","650","950","800","1500","2500"
"Rainfed Mixed","MENA",Legumes,"Chickpea","3827",,"24","30","27","650","950","800","1.5","2.5"
"Rainfed Mixed","SA",Legumes,"Chickpea",,,"24","30","27","650","950","800","1500","2500"
"Forest based Livestock","LAC",Subsistence agriculture,"Coffee","13442",,"10",,"19.5",,,"1.6",,
"Coastal plantation and mixed","LAC",Crops/tree crops export,"Coffee (Coffea arabica)","13443",,"15","24","20","1500","2","1750","1000","2"
"Maize-beans (Mesoamerica)","LAC",Crop production,"Coffee (Coffea arabica)","13443",,"14","26",,"1","2.7",,"1","2.1"
"Highland Perennial","SSA",Farming,"Coffee (Coffea arabica)",,,"18","23","20.5","1500","2000","1750","1000","2"
"Coastal plantation and mixed","LAC",Crops/tree crops export,"Coffee (Coffea robusta)","49390",,"22","26","24",,,"2000","800","800"
"Maize-beans (Mesoamerica)","LAC",Crop production,"Coffee (Coffea robusta)","49390",,"21","25",,"2","3",,"200","300"
"Highland Mixed","MENA",Cereal,"Corn","381124",,"18","27","23","600","1.1","850","1.5","3.6"
"Maize-beans (Mesoamerica)","LAC",Crop production,"Dry bean",,,"18","24",,"600","650",,"600","2"
"Irrigated","LAC",Fruit,"Grape","3602",,"14","29","21","75","100",,,
"Rainfed Mixed","SA",Legumes,"Groundnut",,,"20","30","25","200","1","600","1000","1.5"
"Highland Mixed","SSA",Crop production,"Highland livestock-cereal",,,,,"14",,,"2200",,
"Highland Mixed","SSA",Crop production,"Highland maize-based",,,,,,"600","1.3",,"1.7","2.2"
"Highland Mixed","SSA",Crop production,"Highland mixed North African",,,,,,,,,,"1700"
"Highland Mixed","SSA",Crop production,"Highland wheat-pulse",,,"6","24",,"600","800",,"2200","3"
"Coastal plantation and mixed","LAC",Fishing,"Inshore fishing",,,,,,,,,,
"Highland Mixed","MENA",Legumes,"Lentil","3864",,"18","30","24","350","550","450","1500","3500"
"Rainfed Mixed","MENA",Cereal,"Lentil","3864",,"18","30","24","350","550","450","1500","3.5"
"Dryland mixed","LAC",Agriculture,"Livestock",,,,,,,,,,
"Temperate Mixed","EAP",Cereal,"Maize","4577",,"6.2","42","30.8","300","550",,"700","1.4"
"Upland Intensive Mixed","EAP",Maize,"Maize","4577",,"10","32","19","450","600",,,
"Dryland mixed","LAC",Farming,"Maize","4577",,"13.5","18.5","16","600","1.2","900","940","3.4"
"Rainfed Mixed","SA",Commercial horticulture,"Maize",,,"22","30","26","500","900","700","1.5","2.5"
"Cereal-Root Crop Mixed","SSA",Farming,"Maize","4577",,"18","32","23","300","1.2","650",,"3.8"
"High Altitude Mixed (C. Andes)","LAC",Grain,"Maize","4577",,"18","27","23","600","1.1","850","2800","3300"
"Maize-beans (Mesoamerica)","LAC",Commercial horticulture,"Maize (Zea mays)","4577",,"10","32","19","200","2",,"0","3.8"
"Maize Mixed","SSA",Crop farming,"Maize (Zea mays)",,,"10","32","19","450","600","525",,
"Cereal-Root Crop Mixed","SSA",Farming,"Millet",,,"25","35",,"250","700",,,
"Upland Intensive Mixed","EAP",Rice,"Oilseeds (palm oil)",,,"22","33",,,"2","2.5",,
"Rainfed Mixed","MENA",Crop farming,"Olive","4145",,"15","20","18","400","1","700","800","1"
"Forest based Livestock","LAC",Crop production,"Palm (Acai)",,,"11","33","25",,,"2050",,
"Rainfed Mixed","SA",Crop production,"Pigeopea",,,"17","22","20","600","1.4","1000","50","2"
"High Altitude Mixed (C. Andes)","LAC",Crop production,"Potato","4113",,"7","30","20","400","600","500","3300","3.8"
"Temperate Mixed","EAP",Crop production,"Pulse",,,"20","25","30","350","600",,"0","1.6"
"Upland Intensive Mixed","EAP",,"Pulse (green gram)","3916",,"30","40",,"600","1",,"0","2"
"High Altitude Mixed (C. Andes)","LAC",Grain,"Quinoa","63459",,"-8","38","15","250","1.5","875","3.8","4.5"
"Lowland Rice","EAP",Rice,"Rice","4530",,"26.5","29.3","27.9","1287.6","2832.8","2060.2",,"250"
"Upland Intensive Mixed","EAP",Subsistence rice production,"Rice","4530",,"10","38","22","1","1.7",,"700","1.1"
"Highland Mixed","MENA",Cereal,"Rice","4530",,"20","27","24","1150","3000","2075","1500","3"
"Rainfed Mixed","SA",Cereal,"Rice",,,"21","30","26","1000","2","1500","2500","3"
"Rice-Wheat","SA",Crop production,"Rice (Oryza sativa)","4530",,"10","42","24","1","3",,"0","3"
"Rice","SA",Rice,"Rice (Oryza sativa)","4530",,"10","42","24","1","3",,"0","3"
"Pastoral","SSA",Pastoralism,"Sahelian subsystem",,,"21","35",,"100","200","150","200","400"
"High Altitude Mixed (C. Andes)","LAC",Sheep,"Sheep","9940",,,,,,,,,
"Dryland mixed","MENA",Sheep,"Sheep","9940","93",,,,,,,,
"Highland Mixed","MENA",Sheep,"Sheep","9940",,,,,,,,,
"Cereal-Root Crop Mixed","SSA",Farming,"Sorghum","4557",,"23","37",,"250","800","500",,"2"
"Forest based Livestock","LAC",Subsistence agriculture,"Soybean","3847",,"13","30","25","500","900",,"0","2"
"Upland Intensive Mixed","EAP",,"Sugarcane","128810",,"20","35",,"1.1","1.5",,"0","3"
"Highland Perennial","SSA",Farming,"Tea",,,"13","30","26.5","1.15","1.4",,"1500","2100"
"Temperate Mixed","EAP",Wheat,"Wheat","4565",,"6.4","21.6","28.7","300","550",,"1500","2.9"
"High Altitude Mixed (C. Andes)","LAC",Grain,"Wheat","4565",,"21","26","24","750","1000","875","2800","3300"
"Dryland mixed","MENA",Cereal,"Wheat","4565",,"3.5","35",,"500","1","750","0","3.3"
"Highland Mixed","MENA",Cereal,"Wheat","4565",,"15","25","20","500","1.3","900","1500","3"
"Rainfed Mixed","SA",Cereal,"Wheat",,,"21","26","24","750","1000","880","1500","3"
"Rice-Wheat","SA",Crop production,"Wheat (Triticum aestivum)","4565",,"3.5","35",,"500","1","750","0","3.3"
"Root Crop","SSA",Farming,"Yam",,,,,"26.8",,,"1150","500","2"